img_name,xmin,ymin,xmax,ymax,score
C1_P06_N1_S5_1.JPG,335,161,490,380,1.0
C1_P06_N1_S5_1.JPG,493,166,644,388,1.0
C1_P06_N1_S5_1.JPG,1014,180,1167,406,1.0
C1_P06_N1_S5_1.JPG,2065,2076,2227,2321,1.0
C1_P06_N1_S5_1.JPG,2217,2073,2382,2310,1.0
C1_P06_N1_S5_1.JPG,492,2099,661,2374,1.0
C1_P06_N1_S5_1.JPG,325,2126,496,2390,1.0
C1_P06_N1_S5_1.JPG,1768,2065,1931,2329,1.0
C1_P06_N1_S5_1.JPG,1169,2075,1337,2355,1.0
C1_P06_N1_S5_1.JPG,1481,2102,1644,2352,1.0
C1_P06_N1_S5_1.JPG,1634,2083,1793,2335,1.0
C1_P06_N1_S5_1.JPG,1318,2077,1486,2352,1.0
C1_P06_N1_S5_1.JPG,812,2111,996,2373,1.0
C1_P06_N1_S5_1.JPG,1009,2104,1187,2363,1.0
C1_P06_N1_S5_1.JPG,655,2117,829,2374,1.0
C1_P06_N1_S5_1.JPG,1924,2054,2085,2323,1.0
C1_P06_N1_S5_1.JPG,1626,1613,1780,1847,1.0
C1_P06_N1_S5_1.JPG,644,178,795,397,1.0
C1_P06_N1_S5_1.JPG,475,1635,643,1876,1.0
C1_P06_N1_S5_1.JPG,638,1636,804,1873,1.0
C1_P06_N1_S5_1.JPG,1483,1622,1638,1848,1.0
C1_P06_N1_S5_1.JPG,1770,1622,1922,1839,1.0
C1_P06_N1_S5_1.JPG,1328,1622,1489,1852,1.0
C1_P06_N1_S5_1.JPG,1911,1594,2072,1836,1.0
C1_P06_N1_S5_1.JPG,2061,1558,2224,1830,1.0
C1_P06_N1_S5_1.JPG,1968,666,2123,895,1.0
C1_P06_N1_S5_1.JPG,2122,663,2276,892,1.0
C1_P06_N1_S5_1.JPG,805,1619,966,1867,1.0
C1_P06_N1_S5_1.JPG,1173,1585,1332,1846,1.0
C1_P06_N1_S5_1.JPG,972,1584,1140,1855,1.0
C1_P06_N1_S5_1.JPG,1831,663,1986,889,1.0
C1_P06_N1_S5_1.JPG,2207,1561,2368,1824,1.0
C1_P06_N1_S5_1.JPG,1685,671,1837,893,1.0
C1_P06_N1_S5_1.JPG,1383,653,1543,897,1.0
C1_P06_N1_S5_1.JPG,1538,661,1696,891,1.0
C1_P06_N1_S5_1.JPG,1994,201,2151,424,1.0
C1_P06_N1_S5_1.JPG,2144,210,2295,429,1.0
C1_P06_N1_S5_1.JPG,1133,668,1301,898,1.0
C1_P06_N1_S5_1.JPG,970,662,1127,888,1.0
C1_P06_N1_S5_1.JPG,817,662,971,891,1.0
C1_P06_N1_S5_1.JPG,1662,191,1823,432,1.0
C1_P06_N1_S5_1.JPG,664,656,821,888,1.0
C1_P06_N1_S5_1.JPG,1868,1119,2033,1353,1.0
C1_P06_N1_S5_1.JPG,2026,1126,2182,1351,1.0
C1_P06_N1_S5_1.JPG,1360,1130,1521,1354,1.0
C1_P06_N1_S5_1.JPG,1681,1132,1849,1363,1.0
C1_P06_N1_S5_1.JPG,1522,1126,1684,1356,1.0
C1_P06_N1_S5_1.JPG,1169,1133,1328,1369,1.0
C1_P06_N1_S5_1.JPG,1007,1141,1166,1374,1.0
C1_P06_N1_S5_1.JPG,849,1137,1011,1363,1.0
C1_P06_N1_S5_1.JPG,644,1138,807,1363,1.0
C1_P06_N1_S5_1.JPG,490,1131,651,1362,1.0
C1_P06_N1_S5_1.JPG,1357,203,1521,430,1.0
C1_P06_N1_S5_1.JPG,1510,194,1667,426,1.0
C1_P06_N1_S5_1.JPG,323,1132,481,1358,1.0
C1_P06_N1_S5_1.JPG,341,637,510,878,1.0
C1_P06_N1_S5_1.JPG,2179,1134,2336,1362,0.9999998807907104
C1_P06_N1_S5_1.JPG,513,654,673,880,0.9999998807907104
C1_P06_N1_S5_1.JPG,1849,200,2009,434,0.9999998807907104
C1_P06_N1_S5_1.JPG,1166,183,1324,413,0.9999998807907104
C1_P06_N1_S5_1.JPG,863,179,1017,392,0.9999997615814209
C1_P06_N1_S5_1.JPG,322,1639,482,1863,0.9999995231628418
C1_P06_N1_S5_1.JPG,2017,2073,2175,2310,0.9718999862670898
C1_P06_N1_S3_1.JPG,227,395,442,692,1.0
C1_P06_N1_S3_1.JPG,674,420,877,698,1.0
C1_P06_N1_S3_1.JPG,992,405,1201,695,1.0
C1_P06_N1_S3_1.JPG,2166,467,2361,755,1.0
C1_P06_N1_S3_1.JPG,1187,1811,1417,2144,1.0
C1_P06_N1_S3_1.JPG,2390,1129,2606,1428,1.0
C1_P06_N1_S3_1.JPG,964,1816,1196,2154,1.0
C1_P06_N1_S3_1.JPG,1946,458,2143,743,1.0
C1_P06_N1_S3_1.JPG,651,1802,886,2148,1.0
C1_P06_N1_S3_1.JPG,1733,457,1941,752,1.0
C1_P06_N1_S3_1.JPG,2185,1127,2399,1429,1.0
C1_P06_N1_S3_1.JPG,2923,1815,3135,2122,1.0
C1_P06_N1_S3_1.JPG,1974,1122,2190,1431,1.0
C1_P06_N1_S3_1.JPG,2694,1807,2915,2116,1.0
C1_P06_N1_S3_1.JPG,2466,1800,2688,2118,1.0
C1_P06_N1_S3_1.JPG,1760,1117,1979,1430,1.0
C1_P06_N1_S3_1.JPG,2177,1791,2407,2124,1.0
C1_P06_N1_S3_1.JPG,1959,1809,2176,2117,1.0
C1_P06_N1_S3_1.JPG,1387,1121,1598,1427,1.0
C1_P06_N1_S3_1.JPG,1716,1803,1934,2134,1.0
C1_P06_N1_S3_1.JPG,1445,438,1650,726,1.0
C1_P06_N1_S3_1.JPG,1433,1821,1648,2133,1.0
C1_P06_N1_S3_1.JPG,1144,1111,1364,1429,1.0
C1_P06_N1_S3_1.JPG,911,1095,1138,1434,1.0
C1_P06_N1_S3_1.JPG,442,411,651,703,1.0
C1_P06_N1_S3_1.JPG,461,1095,683,1421,1.0
C1_P06_N1_S3_1.JPG,697,1101,910,1417,1.0
C1_P06_N1_S3_1.JPG,420,1803,659,2144,1.0
C1_P06_N1_S3_1.JPG,166,1808,403,2147,1.0
C1_P06_N1_S3_1.JPG,229,1083,469,1424,1.0
C1_P06_N1_S3_1.JPG,2829,1133,3042,1440,1.0
C1_P06_N1_S3_1.JPG,2600,1124,2826,1435,1.0
C1_P06_N1_S3_1.JPG,1215,414,1417,711,1.0
C1_P06_N1_S3_1.JPG,2852,469,3047,748,1.0
C1_P06_N1_S3_1.JPG,2650,464,2832,752,1.0
C1_P06_N1_S3_1.JPG,2445,469,2640,749,1.0
C3_P02_N1_S2_2.JPG,130,478,395,828,1.0
C3_P02_N1_S2_2.JPG,408,479,662,827,1.0
C3_P02_N1_S2_2.JPG,2101,511,2358,872,1.0
C3_P02_N1_S2_2.JPG,2362,513,2620,872,1.0
C3_P02_N1_S2_2.JPG,2654,529,2896,877,1.0
C3_P02_N1_S2_2.JPG,1429,1275,1682,1630,1.0
C3_P02_N1_S2_2.JPG,415,1266,671,1624,1.0
C3_P02_N1_S2_2.JPG,1840,500,2101,865,1.0
C3_P02_N1_S2_2.JPG,158,1262,415,1627,1.0
C3_P02_N1_S2_2.JPG,3052,1284,3305,1633,1.0
C3_P02_N1_S2_2.JPG,1502,496,1754,864,1.0
C3_P02_N1_S2_2.JPG,2822,1287,3067,1641,1.0
C3_P02_N1_S2_2.JPG,2110,1288,2365,1640,1.0
C3_P02_N1_S2_2.JPG,2583,1289,2837,1645,1.0
C3_P02_N1_S2_2.JPG,2340,1283,2591,1650,1.0
C3_P02_N1_S2_2.JPG,1246,488,1499,850,1.0
C3_P02_N1_S2_2.JPG,1857,1281,2109,1641,1.0
C3_P02_N1_S2_2.JPG,3174,533,3417,878,1.0
C3_P02_N1_S2_2.JPG,1177,1268,1442,1631,1.0
C3_P02_N1_S2_2.JPG,922,1266,1193,1631,1.0
C3_P02_N1_S2_2.JPG,2931,516,3173,875,1.0
C3_P02_N1_S2_2.JPG,668,1268,939,1634,1.0
C3_P02_N1_S2_2.JPG,970,495,1218,851,1.0
C3_P02_N1_S2_2.JPG,673,481,923,846,1.0
C1_P10_N2_S3_1.JPG,2371,80,2658,521,1.0
C1_P10_N2_S3_1.JPG,17,259,238,592,1.0
C1_P10_N2_S3_1.JPG,223,252,458,597,1.0
C1_P10_N2_S3_1.JPG,1342,1750,1601,2128,1.0
C1_P10_N2_S3_1.JPG,1582,1748,1843,2141,1.0
C1_P10_N2_S3_1.JPG,647,1731,891,2095,1.0
C1_P10_N2_S3_1.JPG,1107,1748,1365,2120,1.0
C1_P10_N2_S3_1.JPG,1628,192,1870,540,1.0
C1_P10_N2_S3_1.JPG,399,1004,649,1366,1.0
C1_P10_N2_S3_1.JPG,629,1000,872,1368,1.0
C1_P10_N2_S3_1.JPG,2601,969,2873,1360,1.0
C1_P10_N2_S3_1.JPG,2349,969,2613,1353,1.0
C1_P10_N2_S3_1.JPG,2092,968,2355,1352,1.0
C1_P10_N2_S3_1.JPG,917,220,1148,567,1.0
C1_P10_N2_S3_1.JPG,1377,196,1621,553,1.0
C1_P10_N2_S3_1.JPG,165,1005,417,1369,1.0
C1_P10_N2_S3_1.JPG,1144,220,1377,566,1.0
C1_P10_N2_S3_1.JPG,1837,979,2092,1353,1.0
C1_P10_N2_S3_1.JPG,2643,67,2926,508,1.0
C1_P10_N2_S3_1.JPG,2122,167,2388,533,1.0
C1_P10_N2_S3_1.JPG,1580,977,1841,1362,1.0
C1_P10_N2_S3_1.JPG,692,232,919,577,1.0
C1_P10_N2_S3_1.JPG,1090,983,1339,1367,1.0
C1_P10_N2_S3_1.JPG,471,251,688,574,1.0
C1_P10_N2_S3_1.JPG,1862,179,2122,548,1.0
C1_P10_N2_S3_1.JPG,2628,1772,2879,2149,1.0
C1_P10_N2_S3_1.JPG,2351,1786,2612,2172,1.0
C1_P10_N2_S3_1.JPG,2088,1775,2348,2153,1.0
C1_P10_N2_S3_1.JPG,1837,1763,2096,2148,1.0
C1_P10_N2_S3_1.JPG,874,1743,1117,2112,1.0
C1_P10_N2_S3_1.JPG,433,1727,673,2094,1.0
C1_P10_N2_S3_1.JPG,211,1710,448,2085,1.0
C3_P06_N4_S3_1.JPG,2214,402,2485,924,1.0
C3_P06_N4_S3_1.JPG,920,476,1225,956,1.0
C3_P06_N4_S3_1.JPG,1225,446,1480,938,1.0
C3_P06_N4_S3_1.JPG,1520,423,1811,947,1.0
C3_P06_N4_S3_1.JPG,1898,440,2174,931,1.0
C3_P06_N4_S3_1.JPG,1263,1252,1521,1651,1.0
C3_P06_N4_S3_1.JPG,2122,1846,2358,2292,1.0
C3_P06_N4_S3_1.JPG,1848,1903,2115,2291,1.0
C3_P06_N4_S3_1.JPG,1000,1263,1251,1632,1.0
C3_P06_N4_S3_1.JPG,1573,1907,1831,2276,1.0
C3_P06_N4_S3_1.JPG,641,502,932,976,1.0
C3_P06_N4_S3_1.JPG,717,1256,985,1639,1.0
C3_P06_N4_S3_1.JPG,785,1908,1032,2266,1.0
C3_P06_N4_S3_1.JPG,340,521,630,974,1.0
C3_P06_N4_S3_1.JPG,535,1909,792,2266,1.0
C3_P06_N4_S3_1.JPG,251,1866,538,2291,1.0
C3_P06_N4_S3_1.JPG,415,1281,702,1668,1.0
C3_P06_N4_S3_1.JPG,3826,1828,4132,2293,1.0
C3_P06_N4_S3_1.JPG,3551,1836,3819,2299,1.0
C3_P06_N4_S3_1.JPG,160,1201,464,1654,1.0
C3_P06_N4_S3_1.JPG,3268,1846,3538,2277,1.0
C3_P06_N4_S3_1.JPG,2921,1845,3202,2274,1.0
C3_P06_N4_S3_1.JPG,81,509,371,978,1.0
C3_P06_N4_S3_1.JPG,3896,1120,4223,1614,1.0
C3_P06_N4_S3_1.JPG,2671,1826,2950,2290,1.0
C3_P06_N4_S3_1.JPG,2394,1831,2639,2293,1.0
C3_P06_N4_S3_1.JPG,3589,1125,3902,1621,1.0
C3_P06_N4_S3_1.JPG,3975,353,4247,892,1.0
C3_P06_N4_S3_1.JPG,3280,1128,3576,1596,1.0
C3_P06_N4_S3_1.JPG,3372,380,3632,910,1.0
C3_P06_N4_S3_1.JPG,3642,363,3934,905,1.0
C3_P06_N4_S3_1.JPG,3006,1150,3273,1614,1.0
C3_P06_N4_S3_1.JPG,1294,1851,1560,2273,1.0
C3_P06_N4_S3_1.JPG,1028,1847,1301,2273,1.0
C3_P06_N4_S3_1.JPG,2655,1212,2945,1643,1.0
C3_P06_N4_S3_1.JPG,2379,1222,2651,1634,1.0
C3_P06_N4_S3_1.JPG,2484,404,2744,928,1.0
C3_P06_N4_S3_1.JPG,3043,375,3311,905,1.0
C3_P06_N4_S3_1.JPG,2095,1220,2366,1640,1.0
C3_P06_N4_S3_1.JPG,1801,1239,2073,1639,1.0
C3_P06_N4_S3_1.JPG,2768,386,3053,934,1.0
C3_P06_N4_S3_1.JPG,1529,1241,1803,1638,1.0
C1_P06_N1_S4_1.JPG,397,124,587,391,1.0
C1_P06_N1_S4_1.JPG,602,143,788,407,1.0
C1_P06_N1_S4_1.JPG,797,149,983,403,1.0
C1_P06_N1_S4_1.JPG,1087,151,1271,403,1.0
C1_P06_N1_S4_1.JPG,1261,1402,1464,1688,1.0
C1_P06_N1_S4_1.JPG,1465,1406,1665,1686,1.0
C1_P06_N1_S4_1.JPG,1067,1400,1266,1683,1.0
